工作流,修改类别,问题详细描述,BUG发现日期,BUG等级,解决方案,修改人,修改日期,修改适用范围,修改的基线版本,目标版本,备注
iM5000_maintain,缺陷修复,修改数据包过滤准则下发业务日志无法显示业务名称的问题,,,,樊浩宇,2013-12-11,,01.01.05.18,01.01.05.19,
iM5000_maintain,缺陷修复,为同步同播资源信息加进度条,,,,樊浩宇,2013-12-11,,01.01.05.18,01.01.05.19,
iM5000_maintain,缺陷修复,修改登录的用户过期后，仍可继续正常操作的问题,,,,樊浩宇,2013-12-11,,01.01.05.18,01.01.05.19,
iM5000_maintain,缺陷修复,修改添加用户出错时错误提示全为“用户已存在”的问题,,,,樊浩宇,2013-12-11,,01.01.05.18,01.01.05.19,
iM5000_maintain,缺陷修复,修改用户信息成功后，按照修改信息的不同，显示不同的信息提示,,,,樊浩宇,2013-12-11,,01.01.05.18,01.01.05.19,
iM5000_maintain,缺陷修复,"修改系统有效频点配置的新增和删除功能,不要存库",,,,田策,2013-12-16,,01.01.05.20,01.01.05.21,
iM5000_maintain,缺陷修复,"修改终端在线列表的查询协议,以正确显示终端信息",,,,田策,2013-12-16,,01.01.05.20,01.01.05.21,
iM5000_maintain,缺陷修复,小基站增加终端在线列表功能,,,,田策,2013-12-16,,01.01.05.20,01.01.05.21,
iM5000_maintain,缺陷修复,"修改登录界面,使之能够在win7,win8中显示正常",,,,田策,2013-12-16,,01.01.05.20,01.01.05.21,
iM5000_maintain,缺陷修复,在对基站进行故障弱化配置时，号码分析表为空时，发送的消息中缺少默认值；从基站读取故障弱化配置时，故障弱化开关字段解析错误；,,,,朱晓战,2013-12-18,,01.01.05.20,01.01.05.21,
iM5000_maintain,缺陷修复,同时对多个终端进行重启或者探测时，界面信息显示有误；,,,,朱晓战,2013-12-18,,01.01.05.20,01.01.05.21,
